ID,lat,lon
AVA001,-3.6949787,-38.6070893
AVA002,-3.6986426,-38.598219
AVA003,-3.717032,-38.5561378
AVA004,-3.7385883,-38.5334016
AVA005,-3.722847,-38.513921
AVA006,-3.7041199,-38.5709892
AVA007,-3.7267009,-38.5775118
AVA008,-3.7416872,-38.5476805
AVA009,-3.7042469,-38.5662426
AVA010,-3.7087432,-38.5707849
AVA011,-3.7361721,-38.5430056
AVA012,-3.7107966,-38.5729602
AVA013,-3.7423466,-38.5644562
AVA014,-3.7200894,-38.5598011
AVA015,-3.7206889,-38.5613474
AVA016,-3.7282576,-38.5201149
AVA017,-3.7261693,-38.5450342
AVA018,-3.7026664,-38.5837333
AVA019,-3.6986906,-38.5802483
AVA020,-3.7115036,-38.5692754
AVA021,-3.8287678,-38.4682173
AVA022,-3.6993174,-38.5934088
AVA023,-3.6989145,-38.5855375
AVA024,-3.747551,-38.572026
AVA025,-3.7110841,-38.5613024
AVA026,-3.7065409,-38.5597469
AVA027,-3.7099869,-38.5563575
AVA028,-3.7226817,-38.5721264
AVA029,-3.7226817,-38.5721264
AVA030,-3.7080959,-38.5603994
AVA031,-3.694045,-38.603338
AVA032,-3.7167561,-38.5690345
AVA033,-3.698415,-38.584272
AVA034,-3.7059225,-38.5683241
AVA035,-3.7119173,-38.5481904
AVA036,-3.7189643,-38.585207
AVA037,-3.7865591,-38.5875671
AVA038,-3.7865591,-38.5875671
AVA039,-3.7114506,-38.5552979
AVA040,-3.7083195,-38.568689
AVA041,-3.702364,-38.5737028
AVA042,-3.7634122,-38.5537317
AVA043,-3.7007123,-38.5828732
AVA044,-3.7098835,-38.5701113
AVA045,-3.7165895,-38.5698471
AVA046,-3.7428486,-38.5346224
AVA047,-3.7428486,-38.5346224
AVA048,-3.7304394,-38.5520715
AVA049,-3.720413,-38.5518946
AVA050,-3.7353936,-38.5446957
AVA051,-3.6965496,-38.5931643
AVA052,-3.7174743,-38.5753308
AVA053,-3.7257254,-38.5720135
AVA054,-3.6999575,-38.5827776
AVA055,-3.7227579,-38.5400916
AVA056,-3.6996554,-38.579881
AVA057,-3.7102892,-38.5601132
AVA058,-3.7100429,-38.5611034
AVA059,-3.7429129,-38.559048
AVA060,-3.7202457,-38.5313703
AVA061,-3.7200805,-38.5583704
AVA062,-3.7169548,-38.5539397
AVA063,-3.701936,-38.575609
AVA064,-3.7120986,-38.5673295
AVA065,-3.7237309,-38.5929689
AVA066,-3.7324544,-38.4904744
AVA067,-3.7074157,-38.5607115
AVA068,-3.6974426,-38.579807
AVA069,-3.706575,-38.558877
AVA070,-3.7101146,-38.5747732
AVA071,-3.7441152,-38.5579194
AVA072,-3.7092328,-38.56173
AVA073,-3.7036753,-38.5759728
AVA074,-3.7240544,-38.5375955
AVA075,-3.7303261,-38.5770185
AVA076,-3.7248296,-38.5553111
AVA077,-3.7120161,-38.5632382
AVA078,-3.7417827,-38.5519741
AVA079,-3.7417827,-38.5519741
AVA080,-3.7125529,-38.5725074
AVA081,-3.7056381,-38.5787819
AVA082,-3.7137186,-38.5812462
AVA083,-3.7040082,-38.5791793
AVA084,-3.7042045,-38.5840994
AVA085,-3.6936821,-38.6003645
AVA086,-3.7947128,-38.565706
AVA087,-3.7120165,-38.5638267
AVA088,-3.73454,-38.5483262
AVA089,-3.720197,-38.5849942
AVA090,-3.7083195,-38.568689
AVA091,-3.7129882,-38.5566751
AVA092,-3.7003086,-38.5784435
AVA093,-3.706412,-38.5833192
AVA094,-3.6996868,-38.5793724
AVA095,-3.7325249,-38.4893397
AVA096,-3.6993799,-38.5816629
AVA097,-3.7010677,-38.583088
AVA098,-3.6999343,-38.5765798
AVA099,-3.765054,-38.4837106
AVA100,-3.6996264,-38.5792868
AVA101,-3.705564,-38.5830423
AVA102,-3.828048,-38.529133
AVA103,-3.7039603,-38.5732046
AVA104,-3.7123584,-38.5576698
AVA105,-3.702304,-38.5697536
AVA106,-3.7029208,-38.5690629
AVA107,-3.7155943,-38.5624676
AVA108,-3.6900216,-38.622617
AVA109,-3.7107209,-38.5609125
AVA110,-3.723605,-38.555812
AVA111,-3.7132029,-38.5575779
AVA112,-3.704571,-38.583202
AVA113,-3.7051628,-38.5800121
AVA114,-3.749659,-38.571092
AVA115,-3.7338363,-38.5729175
AVA116,-3.7045823,-38.5817004
AVA117,-3.7010677,-38.583088
AVA118,-3.7157105,-38.5764747
AVA119,-3.7607375,-38.5949266
AVA120,-3.7045823,-38.5817004
AVA121,-3.7258236,-38.535915
AVA122,-3.7070123,-38.5602413
AVA123,-3.7251939,-38.5503396
AVA124,-3.7060836,-38.5823083
AVA125,-3.7164968,-38.5482651
AVA126,-3.723998,-38.554955
AVA127,-3.7620598,-38.5813038
AVA128,-3.7620598,-38.5813038
AVA129,-3.6998212,-38.5849137
AVA130,-3.7102708,-38.5677396
AVA131,-3.7060836,-38.5823083
AVA132,-3.7152133,-38.5578595
AVA133,-3.7031015,-38.5688244
AVA134,-3.8006056,-38.5000139
AVA135,-3.7049249,-38.5650737
AVA136,-3.7047565,-38.5721729
AVA137,-3.7383526,-38.5589107
AVA138,-3.7047645,-38.5692199
AVA139,-3.7043691,-38.5737275
AVA140,-3.7087487,-38.5623204
AVA141,-3.7049399,-38.5657212
AVA142,-3.7136692,-38.5482572
AVA143,-3.7255568,-38.5172725
AVA144,-3.7112617,-38.5670119
AVA145,-3.7094632,-38.5591055
AVA146,-3.711647,-38.571424
AVA147,-3.7150321,-38.5594416
AVA148,-3.7066202,-38.5650576
AVA149,-3.7267632,-38.560695
AVA150,-3.7048811,-38.5678946
AVA151,-3.7146214,-38.5591256
AVA152,-3.703389,-38.5687554
AVA153,-3.7065698,-38.5681542
AVA154,-3.7015097,-38.5735711
AVA155,-3.7335297,-38.4749829
AVA156,-3.7071264,-38.5593054
AVA157,-3.7049581,-38.5693597
AVA158,-3.7129947,-38.5841474
AVA159,-3.7065903,-38.5573417
AVA160,-3.7245051,-38.5544084
AVA161,-3.7483741,-38.5656124
AVA162,-3.7040082,-38.5791793
AVA163,-3.7160187,-38.5576066
AVA164,-3.7003038,-38.5819291
AVA165,-3.7014789,-38.5784665
AVA166,-3.705908,-38.581784
AVA167,-3.7042448,-38.5662836
AVA168,-3.712593,-38.587221
AVA169,-3.708691,-38.560434
AVA170,-3.702922,-38.5699929
AVA171,-3.7653281,-38.5540384
AVA172,-3.7232116,-38.5558915
AVA173,-3.7093672,-38.5643987
AVA174,-3.707407,-38.5731943
AVA175,-3.7055935,-38.5645865
AVA176,-3.708762,-38.566334
AVA177,-3.7342375,-38.5013674
AVA178,-3.744594,-38.5611872
AVA179,-3.7092688,-38.5598029
AVA180,-3.7010627,-38.5757981
AVA181,-3.7326565,-38.5643961
AVA182,-3.6981992,-38.5786929
AVA183,-3.7899495,-38.5266714
AVA184,-3.7040082,-38.5791793
AVA185,-3.7062727,-38.5670764
AVA186,-3.7047791,-38.5853497
AVA187,-3.7198733,-38.5694725
AVA188,-3.7592496,-38.5468189
AVA189,-3.7072379,-38.560579
AVA190,-3.7082406,-38.5610448
AVA191,-3.7047546,-38.5679713
AVA192,-3.7409714,-38.5535266
AVA193,-3.7092397,-38.5754829
AVA194,-3.7139693,-38.585484
AVA195,-3.6999365,-38.5794985
AVA196,-3.7136323,-38.5645422
AVA197,-3.7014801,-38.5877128
AVA198,-3.7462777,-38.5549009
AVA199,-3.7095139,-38.5630986
AVA200,-3.709534,-38.5595773
AVA201,-3.7073863,-38.5605578
AVA202,-3.7107744,-38.5712392
AVA203,-3.7236351,-38.5416195
AVA204,-3.7223797,-38.546108
AVA205,-3.7190329,-38.5605899
AVA206,-3.7338995,-38.5490446
AVA207,-3.7281948,-38.5387348
AVA208,-3.7316738,-38.552477
AVA209,-3.7095139,-38.5630986
AVA210,-3.7144132,-38.5624641
AVA211,-3.7077661,-38.5682325
AVA212,-3.7062802,-38.5780027
AVA213,-3.705905,-38.561578
AVA214,-3.6995914,-38.585291
AVA215,-3.7082999,-38.5589209
AVA216,-3.7067844,-38.5678698
AVA217,-3.7110505,-38.5670629
AVA218,-3.7033091,-38.5813651
AVA219,-3.710846,-38.5518969
AVA220,-3.7108287,-38.5575857
AVA221,-3.7128747,-38.5470827
AVA222,-3.7118254,-38.579918
AVA223,-3.7034715,-38.5673076
AVA224,-3.7071997,-38.5684668
AVA225,-3.6938212,-38.6005136
AVA226,-3.709339,-38.5726983
AVA227,-3.7234081,-38.5546031
AVA228,-3.7234081,-38.5546031
AVA229,-3.7291867,-38.5426419
AVA230,-3.7202662,-38.561424
AVA231,-3.7083229,-38.5614337
AVA232,-3.7063214,-38.5626332
AVA233,-3.721356,-38.5727075
AVA234,-3.7177226,-38.5564575
AVA235,-3.7034464,-38.5747075
AVA236,-19.872623,-40.8752658
AVA237,-3.7046812,-38.5722258
AVA238,-3.7082483,-38.5620794
AVA239,-3.7058431,-38.581109
AVA240,-3.7653254,-38.5292859
AVA241,-3.7106307,-38.5525706
AVA242,-3.7005459,-38.5846231
AVA243,-3.7416243,-38.553577
AVA244,-3.7086581,-38.5600283
AVA245,-3.7099815,-38.5640365
AVA246,-3.7036371,-38.5716768
AVA247,-3.7106631,-38.5675742
AVA248,-3.7061,-38.5691854
AVA249,-3.7324948,-38.5395225
AVA250,-3.7043356,-38.5666733
AVA251,-3.7113125,-38.5695135
AVA252,-3.7148347,-38.5650238
AVA253,-3.7156821,-38.5833079
AVA254,-3.701393,-38.5841079
AVA255,-3.7092219,-38.5676657
AVA256,-3.7449694,-38.5611127
AVA257,-3.7136993,-38.5574852
AVA258,-3.7147206,-38.5492832
AVA259,-3.7102613,-38.590601
AVA260,-3.740562,-38.5000161
AVA261,-3.7056464,-38.571227
AVA262,-3.7130205,-38.584991
AVA263,-3.7173536,-38.5821152
AVA264,-3.7047679,-38.5712151
AVA265,-3.7041843,-38.5663461
AVA266,-3.7043785,-38.566645
AVA267,-3.80267,-38.597893
AVA268,-3.7033556,-38.5709811
AVA269,-3.7355334,-38.5397003
AVA270,-3.7150543,-38.5569468
AVA271,-3.7831878,-38.5685592
AVA272,-3.7088374,-38.5537112
AVA273,-3.7066904,-38.5667963
AVA274,-3.6996766,-38.5748029
AVA275,-3.7248153,-38.5667861
AVA276,-3.7001779,-38.5833298
AVA277,-3.7213203,-38.5336839
AVA278,-3.707952,-38.5560126
AVA279,-3.7220659,-38.5522672
AVA280,-3.7226636,-38.5946089
AVA281,-3.7011892,-38.5790544
AVA282,-3.7214885,-38.5804212
AVA284,-3.7224653,-38.5926205
AVA285,-3.7033681,-38.5706901
AVA286,-3.7106639,-38.5672227
AVA287,-3.7088011,-38.5697001
AVA288,-3.7157946,-38.5575781
AVA289,-3.7245051,-38.5544084
AVA290,-3.7102685,-38.5677401
AVA291,-3.7195398,-38.5887867
AVA292,-3.7213478,-38.5562648
AVA293,-3.7081142,-38.5625306
AVA294,-3.7198733,-38.5694725
AVA295,-3.7163886,-38.5983607
AVA296,-3.714537,-38.5917262
AVA297,-3.7018391,-38.5778354
AVA298,-3.7447859,-38.6676682
AVA299,-3.8403978,-38.482672
AVA300,-3.7050947,-38.5733276
AVA301,-3.7003093,-38.5797422
AVA302,-3.7005916,-38.582548
AVA303,-3.7086367,-38.5632478
AVA304,-3.7248541,-38.5546903
AVA305,-3.7241821,-38.4781555
AVA306,-3.7280582,-38.5157777
AVA307,-3.732271,-38.570854
AVA308,-3.7259058,-38.5621822
AVA309,-3.7027666,-38.582596
AVA310,-3.7119426,-38.5573371
AVA311,-3.7111083,-38.5529947
AVA312,-3.7080734,-38.558598
AVA313,-3.704366,-38.5683614
AVA314,-3.7233582,-38.5526315
AVA315,-3.7071213,-38.5595327
AVA316,-3.7348465,-38.5762685
AVA317,-3.7004449,-38.5824762
AVA318,-3.8343481,-38.5567748
AVA319,-3.8261238,-38.5507697
AVA320,-3.7121627,-38.551619
AVA321,-3.7178389,-38.5561064
AVA322,-3.7202395,-38.5407145
AVA323,-3.7155096,-38.5637272
AVA324,-3.7054264,-38.5626294
AVA325,-3.7640255,-38.5454574
AVA326,-3.7237372,-38.5517573
AVA327,-3.7040082,-38.5791793
AVA328,-3.7157103,-38.5763897
AVA329,-3.7290304,-38.5502732
AVA330,-3.7071533,-38.5697972
AVA331,-3.6945997,-38.6297602
AVA332,-3.6948383,-38.6251467
AVA333,-3.7194059,-38.5651993
AVA334,-3.7193735,-38.5685599
AVA335,-3.708669,-38.5611881
AVA336,-3.7120159,-38.5488973
AVA337,-3.7385626,-38.5446606
AVA338,-3.7217898,-38.5727548
AVA339,-3.7180377,-38.5558629
AVA340,-3.7451295,-38.5287037
AVA341,-3.7176184,-38.5401927
AVA342,-3.7921379,-38.6101861
AVA343,-3.7269629,-38.4960176
AVA344,-3.7081641,-38.5672577
AVA345,-3.7416007,-38.5991262
AVA346,-3.7100188,-38.5673902
AVA347,-3.7024196,-38.5703696
AVA348,-3.7245374,-38.5723684
AVA349,-3.7264234,-38.5697186
AVA350,-3.7073913,-38.5632642
AVA351,-3.7090095,-38.5753776
AVA352,-3.7131666,-38.5690283
AVA353,-3.7155026,-38.574927
AVA354,-3.7761565,-38.5877682
AVA355,-3.7258698,-38.5713097
AVA356,-3.7159916,-38.5718918
AVA357,-3.7030686,-38.5711937
AVA358,-3.713029,-38.5575533
AVA359,-3.713996,-38.5793884
AVA360,-3.6971951,-38.5804337
AVA361,-3.7097435,-38.5648622
AVA362,-3.7074995,-38.5602319
AVA363,-3.712584,-38.5839037
AVA364,-3.707426,-38.5774279
AVA366,-3.7097816,-38.5987803
AVA367,-3.7051741,-38.5699249
AVA368,-3.7063214,-38.5626332
AVA369,-3.7321792,-38.5718512
AVA370,-3.69992,-38.5787561
AVA371,-3.7123463,-38.5492365
AVA372,-3.726148,-38.51909
AVA373,-3.7221114,-38.5573698
AVA374,-3.7013453,-38.581918
AVA375,-3.7072103,-38.567221
AVA376,-3.6997108,-38.5848444
AVA377,-3.7264042,-38.5453578
AVA378,-3.7175252,-38.54846
AVA379,-3.7163586,-38.5714569
AVA380,-3.7177048,-38.5688235
AVA381,-3.715341,-38.578102
AVA382,-3.7036753,-38.5759728
AVA383,-3.7354317,-38.5495824
AVA384,-3.8955685,-38.6122609
AVA385,-3.8271232,-38.4563395
AVA386,-3.6999155,-38.5766213
AVA387,-3.7005941,-38.5759878
AVA388,-3.7081646,-38.5874404
AVA389,-3.7238043,-38.5635362
AVA390,-3.700368,-38.5831314
AVA391,-3.7050335,-38.5751726
AVA392,-3.7170908,-38.5520121
AVA393,-3.7229456,-38.5566365
AVA394,-3.736604,-38.5508864
AVA395,-3.7322104,-38.5645697
AVA396,-3.6986904,-38.5831731
AVA397,-3.7204853,-38.5565417
AVA398,-3.717554,-38.5701309
AVA399,-3.7036012,-38.5740248
AVA400,-3.709523,-38.567733
AVA401,-3.7020468,-38.5744801
AVA402,-3.7004171,-38.5766713
AVA403,-3.7270437,-38.5732997
AVA404,-3.7240048,-38.5759592
AVA405,-3.7101944,-38.5616495
AVA406,-3.7925284,-38.5469448
AVA407,-3.7155551,-38.5559367
AVA408,-3.7169586,-38.5771878
AVA409,-3.7191004,-38.562223
AVA410,-3.7447419,-38.558812
AVA411,-3.7811522,-38.5773971
AVA412,-3.7649086,-38.4860462
AVA413,-3.7083195,-38.568689
AVA414,-3.7027862,-38.5731821
AVA415,-3.705673,-38.5697419
AVA416,-3.7033501,-38.5747325
AVA417,-3.7098714,-38.5597879
AVA418,-3.7033537,-38.5735915
AVA419,-3.7033537,-38.5735915
AVA420,-3.7058127,-38.5696878
